"gēɪ","璣","電視璣","(medium scale) machine","（中型）機械","Ct 機"
"gī","經","已經","see 已經","見“已經”條","Ct 經"
"gï","已","已經","see 已經","見“已經”條","Zh 已"
"gï","機","飛機","(larger scale) machine","（較大型）機械","Zh 機"
"gïmïfäɪ","/","/","give me five","give me five、讓我們擊掌慶祝一下","En give me five"
"gjæ̈","/","/","gyatt / bűm","法律寵物","En gyatt"
"gö","個","依個","(quantity)","個（量詞）","Ct 個"
"gū","咕","咕嚕肉","see 咕嚕肉","見“咕嚕肉”條","Ct 咕嚕肉"
"gü","𢛅","依𢛅","(quantity)","個（量詞）","Ct 個"
"hān","香","香港","see 香港","見“香港”條","Ct 香港"
"háw","好","好耶","good","好","Zh 好"
"hǣm","/","/","something to be seen","要看的東西","?"
"hë","へ","へ然","next","接著","Ja へ"
"hëɪ","係","即係","is","是","Ct 係"
"hə̇`","核","核桃","see 核桃","見“核桃”條","Ct 核桃"
"hī","𠺪","𠺪","this","這","Ct 呢"
"hö","","𠺪","(quantity)","個（量詞）","Ct 個"
"hö","","㖿","location","地方","Ct 度"
"hö","𠲡","𠲡多","very","很","Ct 好"
"hó","𡂄","/","very","很","Ct 好"
"höˊ","後","之後","see 之後","見“之後”條","Ct 後"
"hōɪ","開","/","open (door)","開（門）","Ct 開"
"ì","𠲖","/","oh dear","慘了","?"
"jā","一","一","one","一","Ct 一"
"jȧ","吔","/","(particle) ah","呀","Ct 呀"
"jà","幹","幹嘛","do","做、幹","Zh 幹"
"jäbābā","/","/","it is also","這也是","?"
"jȧw","㣙","/","thing","東西、事物","?"
"jē","㖿","㖿","this","這","Ct 呢"
"jë","耶","好耶","(particle) yay","（好）耶","Zh 好耶"
"jë","預","預備","see 預備","見“預備”條","Zh 預備?"
"jē ~ ōˊ","/","/","take ~ off","除 ~ （衣服）","En take ~ off"
"jï","翼","雞翼","wing","雞翼","Ct 翼"
"ji","然","へ然","-ly","然","Ct 然"
"jī","依","依𠑟","that / this","那、這","Ct 依"
"jï","醫","醫院","medical","醫","Ct 醫"
"jɪ̄k","抑","抑士","see 抑士","見“抑士”條","Ct 的士"
"jīn","𮉝","𮉝㗎","who","誰","Ct 邊"
"jō","若","若若","see 若若","見”若若”條","?"
"jö","咗","/","(particle) already","了","Ct 咗"
"jö","陽","太陽","sun","陽","Ct 陽"
"jö`","肉","咕嚕肉","meat","肉","Ct 肉"
"jü","要","/","want","要","Ct 要"
"jý","院","花院","garden","園","Ct 園"
"kwïsmë","/","/","Christmas","聖誕節","En Christmas"
"lɪ̇k","搦","/","have / own / get","有、拿、持","Ct 搦"
"ló","佬","差佬","person, dude, guy","傢伙","Ct 佬"
"lö","","","there's no","沒有","Ct 冇"
"lö","嚟","就嚟","come","來","Ct 嚟"
"lū","嚕","咕嚕肉","see 咕嚕肉","見“咕嚕肉”條","Ct 咕嚕肉"
"lü","囖","/","(quantity)","個（量詞）","Ct 個"
"m̄","唔","唔","not","不","Ct 唔"
"m̈","/","/","there is","有","?"
"má","嘛","幹嘛","what","什麽、嘛","Zh 嘛"
"mán","饅","/","full","吃飽","Ct 飽"
"mæ̰̈`","","唔","no / not","否、不、不是","Ct 唔係"
"ná","哪","飯哪𡁻","(particle)?","助詞","?"
"ná","奶","奶昔","milk","奶","Ct 奶"
"nȧ","吶","/","(particle) ah","呀","Zh 吶"
"nėɪ","哋","哋哋","(plural marker)","們","Ct 哋"
"nə̈n","","多","(sarcasm marker)","（標示反話）","Ct (profanity) ラン"
"nï","呢","呢隻","this","這","Ct 呢"
"nïn","麵","麵麵","noodles","麵","Ct 麵"
"një","㘿","我㘿","(plural marker)","們","Ct 哋"
"njēˊ","昔","奶昔","(shake)","奶昔","Ct 奶昔, ultimately En shake"
"nȯ","𠲼","/","(intensifier) already / lah","了、啦","Ct 啦"
"ŋjáp","鴨","/","duck","鴨","Ct 鴨"
"ŋó","火","火車","fire","火","Ct 火"
"ō","屋","屋企","house","屋","Ct 屋"
"ö","哦","/","(particle) ah, O, oh","哦","Zh 哦"
"ɹ","儿","玩儿","(diminuitive)","（兒化）~兒","Zh 兒"
"pó","婆","阿婆","grandmother","外婆","Ct 婆"
"rȧ","鿜","咑鿜咑鿜咑","see 咑鿜咑鿜咑","見“咑鿜咑鿜咑”","Zh 打"
"säbä","/","/","strawberry","草莓","En strawberry"
"sáŋ","上","ぁ上","up","上","Ct 上"
"sáw","手","幫手","hand","手","Ct 手"
"sëɪ","飛","飛機","fly","飛","Ct 飛?"
"séw","少","/","less / little","少","Ct 少"
"sèw","聲","/","sound","聲音","Ct 聲"
"sə̇ɪ","𱔵","/","want / desire","想要、想","?"
"sí","士","抑士","see 抑士","見“抑士”條","Ct 的士"
"sí","市","花市","market","花市","Ct 市"
"sí","視","電視璣","vision","視","Ct 視"
"sīˊ","/","/","it","它","En it"
"sï","笑","搞笑","laugh","笑","Ct 笑"
"sǣnkẏ","/","/","thank you","謝謝","En thank you"
"sèsōukī","/","/","rubber band","橡皮圈","?"
"sóɪ","水","/","water","水","Ct 水"
"ʃə̇","處","邊處","place","地方、處","Zh 處"
"ʃö`","/","/","sharp (music note)","升（音樂）","En sharp"
"tā","他","他隻","singular they / he","他","Zh 他"
"tā","太","太陽","see 太陽","見“太陽”條","Ct 太陽"
"tëɪ","洗","洗手","wash","洗","Ct 洗"
"tö","就","就嚟","near","接近","Ct 就"
"tōt","杔","杔子","stick","棍","En chopsticks"
"tsā","差","差佬","see 差佬","見“差佬”條","Ct 差佬"
"tsē","車","火車","car / vehicle","車","Ct 車"
"tsī","千","一千","thousand","千","Ct 千"
"tsi","子","杔子","(general suffix)","~子（物件）","Zh 子"
"tsu̇`","桃","核桃","see 核桃","見“核桃”條","Ct 核桃"
"tʃápän","/","tʃápän 波波","(smaller scale) machine","（較小型）機械","?"
"tʃé","企","屋企","see 屋企","見“屋企”條","Ct 屋企"
"wā","/","/","what","什麼","En what"
"wä","彎","轉彎","curve","彎","Ct 彎"
"wá","玩","/","play","玩","Zh 玩"
"wäɪnī","/","/","whiny / expression to apologise that they are being whiny","愛發牢騷、抱歉自己愛發牢騷", "En whiny"
"wàw","/","/","who is that","那是誰","?"
"wə̇ɪ","胃","胃𦙅","stomach / appetite","胃、胃口","Ct 胃"
"wījäw","/","/","video","影片","En video"
"wö","","今","day","日、天","?"
"wó","冇 ","/","none / no / absent","沒有","Ct 冇 "
"wu̇","𦙅","胃𦙅","cramped / small","狹窄、小","?"
"wúɪ","位","/","seat","座位","Ct 位"
"zī","之","之後","see 之後","見“之後”條","Ct 之"
"zɪ̈","隻","他隻","(quantity)","隻（量詞）","Zh 隻"
"zu̇","轉","轉彎","turn","拐（彎）","Ct 轉"
"ʑjæ̈ŋ","正","/","great","棒、好","Ct 正"
"ʑjæ̈w","𡁻","飯哪𡁻","eat, consume","嚥","Ct 𡁻"
